Locale,Source,Result,Character count
fr-FR,"Collection of useful tools for color generation (shades, tint).","[fr-FR] Collection of useful tools for color generation (shades, tint).",63
fr-FR,"colordesigner","[fr-FR] colordesigner",13
fr-FR,"Design System Repo","[fr-FR] Design System Repo",18
fr-FR,"Collections of Design Systems.","[fr-FR] Collections of Design Systems.",30
fr-FR,"ddsrepo","[fr-FR] ddsrepo",7
fr-FR,"The Component Gallery","[fr-FR] The Component Gallery",21
fr-FR,"Collection of Components semantic and Design Systems curation.","[fr-FR] Collection of Components semantic and Design Systems curation.",62
fr-FR,"compgallery","[fr-FR] compgallery",11
fr-FR,"Typescale","[fr-FR] Typescale",9
fr-FR,"Generate easily font scales for design systems.","[fr-FR] Generate easily font scales for design systems.",47
fr-FR,"typescale","[fr-FR] typescale",9
fr-FR,"Toolfolio","[fr-FR] Toolfolio",9
fr-FR,"Useful Design Tools collection.","[fr-FR] Useful Design Tools collection.",31
fr-FR,"toolfolio","[fr-FR] toolfolio",9
fr-FR,"Pousse ta fonte","[fr-FR] Pousse ta fonte",15
fr-FR,"Collection of paid and free to use Typeface Foundries.","[fr-FR] Collection of paid and free to use Typeface Foundries.",54
fr-FR,"pousse","[fr-FR] pousse",6
fr-FR,"Google Fonts","[fr-FR] Google Fonts",12
fr-FR,"Collection of free to use Typefaces.","[fr-FR] Collection of free to use Typefaces.",36
fr-FR,"googlefont","[fr-FR] googlefont",10
fr-FR,"Fontshare","[fr-FR] Fontshare",9
fr-FR,"Collection of free to use Typefaces.","[fr-FR] Collection of free to use Typefaces.",36
fr-FR,"fontshare","[fr-FR] fontshare",9
fr-FR,"Velvetyne","[fr-FR] Velvetyne",9
fr-FR,"Collection of eccentric display Typefaces (most shall be free to use).","[fr-FR] Collection of eccentric display Typefaces (most shall be free to use).",70
fr-FR,"velvetyne","[fr-FR] velvetyne",9
fr-FR,"Use Modify","[fr-FR] Use Modify",10
fr-FR,"Collection of eccentric display Typefaces (most shall be free to use).","[fr-FR] Collection of eccentric display Typefaces (most shall be free to use).",70
fr-FR,"usemodify","[fr-FR] usemodify",9
fr-FR,"sgvl","[fr-FR] sgvl",4
fr-FR,"Collection of SVG logos.","[fr-FR] Collection of SVG logos.",24
fr-FR,"svgl","[fr-FR] svgl",4
fr-FR,"Simple icons","[fr-FR] Simple icons",12
fr-FR,"Collection of SVG logos along with the brand primary color.","[fr-FR] Collection of SVG logos along with the brand primary color.",59
fr-FR,"simpleicons","[fr-FR] simpleicons",11
fr-FR,"Untitled UI Icons","[fr-FR] Untitled UI Icons",17
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"untitledicons","[fr-FR] untitledicons",13
fr-FR,"Phosphor Icons","[fr-FR] Phosphor Icons",14
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"phosphor","[fr-FR] phosphor",8
fr-FR,"Sargam Icons","[fr-FR] Sargam Icons",12
fr-FR,"Icon Library with style declination (outlined, shaded, solid).","[fr-FR] Icon Library with style declination (outlined, shaded, solid).",62
fr-FR,"sargam","[fr-FR] sargam",6
fr-FR,"Feather Icons","[fr-FR] Feather Icons",13
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"feather","[fr-FR] feather",7
fr-FR,"Tabler Icons","[fr-FR] Tabler Icons",12
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"tabler","[fr-FR] tabler",6
fr-FR,"Hero Icons","[fr-FR] Hero Icons",10
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"hero","[fr-FR] hero",4
fr-FR,"Iconoir","[fr-FR] Iconoir",7
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"iconoir","[fr-FR] iconoir",7
fr-FR,"Iconic","[fr-FR] Iconic",6
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"iconic","[fr-FR] iconic",6
fr-FR,"Glyphs","[fr-FR] Glyphs",6
fr-FR,"Colored Icon Library.","[fr-FR] Colored Icon Library.",21
fr-FR,"glyphs","[fr-FR] glyphs",6
fr-FR,"Atlas Icons","[fr-FR] Atlas Icons",11
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"atlasicons","[fr-FR] atlasicons",10
fr-FR,"Getty Images","[fr-FR] Getty Images",12
fr-FR,"Collection of professionals stock picture.","[fr-FR] Collection of professionals stock picture.",42
fr-FR,"getty","[fr-FR] getty",5
fr-FR,"Unsplash","[fr-FR] Unsplash",8
fr-FR,"Collection of free to use pictures, mostly focused on real life photography.","[fr-FR] Collection of free to use pictures, mostly focused on real life photography.",76
fr-FR,"unsplash","[fr-FR] unsplash",8
fr-FR,"Pixabay","[fr-FR] Pixabay",7
fr-FR,"Collection of free to use pictures.","[fr-FR] Collection of free to use pictures.",35
fr-FR,"pixabay","[fr-FR] pixabay",7
fr-FR,"Pexels","[fr-FR] Pexels",6
fr-FR,"Collection of free to use pictures and videos.","[fr-FR] Collection of free to use pictures and videos.",46
fr-FR,"pexels","[fr-FR] pexels",6
fr-FR,"Guide to User Research (UXR)","[fr-FR] Guide to User Research (UXR)",28
fr-FR,"Corpus of UX research methodologies.","[fr-FR] Corpus of UX research methodologies.",36
fr-FR,"guideux","[fr-FR] guideux",7
fr-FR,"Laws of UX","[fr-FR] Laws of UX",10
fr-FR,"Fundamental rules in UX.","[fr-FR] Fundamental rules in UX.",24
fr-FR,"lawsux","[fr-FR] lawsux",6
fr-FR,"All","[fr-FR] All",3
fr-FR,"Design System","[fr-FR] Design System",13
fr-FR,"module","[fr-FR] module",6
fr-FR,"Color","[fr-FR] Color",5
fr-FR,"paint","[fr-FR] paint",5
fr-FR,"Foundry","[fr-FR] Foundry",7
fr-FR,"type","[fr-FR] type",4
fr-FR,"Iconography","[fr-FR] Iconography",11
fr-FR,"image","[fr-FR] image",5
fr-FR,"Stock","[fr-FR] Stock",5
fr-FR,"camera","[fr-FR] camera",6
fr-FR,"click","[fr-FR] click",5
fr-FR,"ai","[fr-FR] ai",2
fr-FR,"Figma","[fr-FR] Figma",5
fr-FR,"Adobe XD","[fr-FR] Adobe XD",8
fr-FR,"Powerpoint","[fr-FR] Powerpoint",10
fr-FR,"Management","[fr-FR] Management",10
fr-FR,"management","[fr-FR] management",10
fr-FR,"Documentation","[fr-FR] Documentation",13
fr-FR,"glasses","[fr-FR] glasses",7
fr-FR,"Core Modules","[fr-FR] Core Modules",12
fr-FR,"Elite Modules","[fr-FR] Elite Modules",13
,,TOTAL,6470
